Timestamp :),Title,"First Author (Last, First) (no middle initials)",Publication Date (YYYY-MM),"Reviewer (your name, First Last i.e. Meghan Cum)","Verifier (name, good or bad)","Meets the sufficient criteria: uses mice or rats, is not a review or protocol paper, tests for social memory/recognition/discrimination",Species,Wild Rodents Used? (like literally caught from the wild),Subject Strain  (i.e. C57BL6J or Sprague-Dawley) if multiple strains were used separate them by a semi colon and if mixed state mixed i.e. 129/SvJ mixed C57BL/6J; 129/SvJ mixed Swiss black,Final Strain,Subject Type,Subject Age,Subject Sex,Subject Housing,"Social Agent: degree of familiarity (if subject is exposed to a social agent ONLY twice, each trial being 5 or less minutes, the degree of familiarity is 5 min or less, NOT the total time exposed to the social agent) ",Was odor used?,Subject Social Rank,Intertrial Interval (ITI) (time between trials),Social Agent Strain ,Social Agent Age (check all that apply),Social Agent Sex,"If female, ovariectiomized?",Social Agent Identity,Social Agent Housing,Social Agent Rank,Social Agent Type,Social Discrimination Tested? i.e. novel and familiar social agents presented at the *same time* to the subject,Additional novel social agent used at all? ,Qualities Shared w/ Subject Mouse (i.e. same age between social agents and subject) [Social Agent],Do you have questions on this paper/should Meghan look this one over? ,"If you answered yes to the previous question, what concerns/questions did you have specifically on this paper? "
4/26/2022 15:24:58,"mGlu7 potentiation rescues cognitive, social, and respiratory phenotypes in a mouse model of Rett syndrome","Gogliotti, Rocco",2017-08,Ryo Iwata,"Leo, good",yes,Mice,no,C57/B6 ,C57BL/6,both,adult (12-24 weeks),Does not specify,Does not specify,7 minutes,animals always present,Does not specify,1-6 hr,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),yes,Yes,None,"No, I feel confident, and I double-checked all my answers before submitting.","The social agent was described as just ""novel juvenile mouse."" So it is not clear that the mice are transgenic or not."
4/28/2022 12:56:27,Neuroligin 2 regulates absence seizures and behavioral arrests through GABAergic transmission within the thalamocortical circuitry,"Cao, Feng",2020-07,Ezra Wright,"Ezra, good",yes,Mice,no,129 Sv × C57BL/6,C57BL/6 mix,"transgenic (Cre or Flp line, KO line)","juvenile (3-7 weeks or week not specified), young adult (8-12 weeks), adult (12-24 weeks)",Does not specify,Does not specify,5 min exposure or less,animals always present,Does not specify,1-5 minutes,Does not specify,"juvenile (3-7 weeks or week not specified), young adult (8-12 weeks), adult (12-24 weeks)","same sex as subject, Does not specify",Does not specify sex,"juvenile not specified, adult not specified",Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex","No, I feel confident, and I double-checked all my answers before submitting.",
5/3/2022 16:36:30,Prenatal prochloraz treatment significantly increases pregnancy length and reduces offspring weight but does not affect social-olfactory memory in rats,"Dmytriyeva, Oksana",2013-07,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),young adult (8-12 weeks),Does not specify,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Wistar,juvenile (3-7 weeks or week not specified),always male,,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
5/3/2022 16:45:10,Prenatal Stress Produces Social Behavior Deficits and Alters the Number of Oxytocin and Vasopressin Neurons in Adult Rats,"de Souza, Marcelo ",2013-07,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Does not specify,Does not specify,6 minutes,animals always present,Does not specify,over 5 min - less than an hour,Does not specify ,juvenile (3-7 weeks or week not specified),"opposite sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
5/4/2022 14:51:01,Upregulation of Calcium/Calmodulin-Dependent Protein Kinase IV Improves Memory Formation and Rescues Memory Loss with Aging,"Fukushima, Hotaka",2008-10,Ezra Wright,,yes,Mice,no,C57BL/6N,C57BL/6,both,"adult (week not specified), old (+40 weeks)",Does not specify,group-housed,5 min exposure or less,animals always present,Does not specify,"1-6 hr, over 6 hr - 24 hr",C57BL/6N,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,No,None,"Yes, this one was tricky.","No mention of sex of mice or details about the juvenile stimulus. I put in assumptions for some answers where ""Does not specify"" was not an option"
5/15/2022 18:18:48,Hippocampal Lnx1–NMDAR multiprotein complex mediates initial social memory,"Liu, Xian-Dong",2021-08,Erika Wangia,,yes,Mice,no,CD1,CD-1,both,juvenile (3-7 weeks or week not specified),Does not specify,group-housed,"littermate, 5 min exposure or less",animals always present,Does not specify,"1-6 hr, no ITI",Does not specify; CD1,Does not specify,"same sex as subject, Does not specify",No,does not specify,Does not specify,Does not specify,WT (wild type),yes,Yes,Sex,"Yes, this one was tricky.",There isn't a lot of information present and I'm not sure whether its going over my head or if it isn't there.
5/24/2022 9:18:55,Dysfunction of the RAR/RXR signaling pathway in the forebrain impairs hippocampal memory and synaptic plasticity,"Nomoto, Masanori",2012-02,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6N,C57BL/6,both,adult (week not specified),Does not specify,group-housed,5 min exposure or less,animals always present,Does not specify,"no ITI, over 5 min - less than an hour, 1-6 hr",Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
5/25/2022 9:36:41,"Discovery of 7-arylsulfonyl-1,2,3,4, 4a,9a-hexahydro-benzo[4,5]furo[2,3-c]pyridines: Identification of a potent and selective 5-HT6 receptor antagonist showing activity in rat social recognition test","Tripathy, Rabindranath",2012-02,Jocelyn Santiago Perez,,yes,Rats,no,Does not specify,Does not specify,WT (wild type),Does not specify,Does not specify,Does not specify,Does not specify,animals always present,Does not specify,not specified,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,Yes,None,"No, I feel confident, and I double-checked all my answers before submitting.",
5/30/2022 14:46:59,Overexpression of serum amyloid a 1 induces depressive-like behavior in mice,"Jang, Woo",2017-01,Ryo Iwata,"Leo, good",yes,Mice,no,Does not specify,Does not specify,both,Does not specify,Does not specify,Does not specify,10 minutes,animals always present,Does not specify,no ITI,Does not specify,Does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),yes,Yes,None,"No, I feel confident, and I double-checked all my answers before submitting.","The strain was not explicetly stated, but I found a paper by the same author with a similar subject matter that stated it used C57BL/6: https://cdnsciencepub.com/doi/10.1139/apnm-2015-0369?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed"
6/9/2022 22:29:01,beta1-adrenergic receptor activation enhances memory in Alzheimer’s disease model,"Coutellier, Laurence",2014-04,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6;FVB/NJ,"C57BL/6, other mouse",both,young adult (8-12 weeks),Does not specify,group-housed,10 minutes,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",C57BL/6J,juvenile (3-7 weeks or week not specified),always male,,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/13/2022 9:12:00,Overexpression of the NR2A subunit in the forebrain impairs long-term social recognition and non-social olfactory memory,"Jacobs, S.",2014-04,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6J,C57BL/6,both,adult (24-40 weeks),Does not specify,Does not specify,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6J;BALB/c;Long-Evans hooded rats,"juvenile (3-7 weeks or week not specified), adult (12-24 weeks), adult (24-40 weeks)","same sex as subject, opposite sex as subject, Uses both",No,"juvenile male, adult intact female ",Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/13/2022 9:42:48,"Functional characterization of FABP3, 5 and 7 gene variants identified in schizophrenia and autism spectrum disorder and mouse behavioral studies","Shimamoto, Chie",2014-12,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6J,C57BL/6,both,Does not specify,Does not specify,Does not specify,Does not specify,animals always present,Does not specify,not specified,Does not specify,Does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 16:18:10,Expression of constitutively active erythropoietin receptor in pyramidal neurons of cortex and hippocampus boosts higher cognitive functions in mice,"Sargin, Derya",2011-04,Meghan Cum,,yes,Mice,no,C57BL6/N,C57BL/6,both,adult (12-24 weeks),Does not specify,group-housed,10 minutes,animals always present,Does not specify,not specified,C57BL/6N,Does not specify,always male,,not specified male,Does not specify,Does not specify,WT (wild type),yes,Yes,None,"No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 11:25:08,Assessment of Social Interaction Behaviors,Kaidanovich-Beilin,2011-02,Meghan Cum,,yes,Mice,no,Does not specify,Does not specify,both,Does not specify,Does not specify,group-housed,10 minutes,animals always present,Does not specify,not specified,Does not specify,Does not specify,"same sex as subject, Does not specify",,does not specify,group-housed,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain, Housing History","No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 11:28:54,Clorgyline-mediated reversal of neurological deficits in a Complexin 2 knockout mouse,"Glynn, Dervila",2010-09,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6,C57BL/6,both,adult (12-24 weeks),Does not specify,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,juvenile (3-7 weeks or week not specified),Uses both,No,"juvenile male, juvenile female",Does not specify,Does not specify,WT (wild type),no,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 13:41:34,Combined effect of neonatal immune activation and mutant DISC1 on phenotypic changes in adulthood,"Ibi, Daisuke",2010-01,Jocelyn Santiago Perez,,yes,Mice,no,Does not specify,C57BL/6 mix,both,young adult (8-12 weeks),Does not specify,singly-housed for more than a few hours and less than a week,15 minutes,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6,"young adult (8-12 weeks), adult (12-24 weeks)",always male,,adult male,Does not specify,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
2/23/2022 16:29:25,"Involvement of estrogen receptor α, β and oxytocin in social discrimination: a detailed behavioral analysis with knockout female mice","Choleris, Elena",2006-01,Meghan Cum,,yes,Mice,no,129/SvJ mixed w/ C57BL/6J; 129/SvJ mixed w/ Swiss black,"C57BL/6 mix, mix",both,adult (12-24 weeks),Female,singly-housed,20 minutes,animals always present,Does not specify,over 5 min - less than an hour,Swiss-Webster,adult (12-24 weeks),"same sex as subject, always female",Yes,ovariectomized female,group-housed,Does not specify,WT (wild type),yes,Yes,"Age, Sex",,
2/23/2022 16:43:21,Effects of 17 b-estradiol and extremely low-frequency electromagnetic fields on social recognition memory in female rats: A possible interaction?,"Reyes-Guerrero, Gloria",2006-06,Meghan Cum,,yes,Rats,no,Wister,Wistar,WT (wild type),adult (week not specified),Female,group-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History, Type (WT vs transgenic)",,
2/23/2022 17:42:42,A social recognition test for female mice reveals behavioral effects of developmental chlorpyrifos exposure,"Venerosi, Aldina ",2006-08,Meghan Cum,,yes,Mice,no,CD-1,CD-1,WT (wild type),adult (12-24 weeks),Female,singly-housed for more than a few hours and less than a week,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,CD-1,adult (12-24 weeks),"same sex as subject, always female",No,adult intact female,group-housed,Does not specify,WT (wild type),no,yes,"Age, Sex, Strain, Type (WT vs transgenic)",,
3/21/2022 13:56:41,Dopamine D1 Receptor–Positive Neurons in the Lateral Nucleus of the Cerebellum Contribute to Cognitive Behavior,"Locke, Timothy",2018-09,Naeliz Lopez,,yes,Mice,no,C57BL/6;FVB;129S6,"C57BL/6, 129",both,Does not specify,Female,Does not specify,10 minutes,no odor was used,Does not specify,not specified,C57BL/6J,Does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),no,Yes,None,"Yes, this one was tricky.","There is a lot of not specified, and I want to make sure.  I checked some questions with you earlier on 3/21. "
3/21/2022 16:38:58,Chronic ethanol exposure during adolescence through early adulthood in female rats induces emotional and memory deficits associated with morphological and molecular alterations in hippocampus,"Oliveira, Ana",2015-06,Meghan Cum,,yes,Rats,no,Wistar ,Wistar,WT (wild type),adult (12-24 weeks),Female,group-housed,5 min exposure or less,no odor was used,Does not specify,over 5 min - less than an hour,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/22/2022 13:41:08,Effects of repeated 9 and 30-day exposure to extremely low-frequency electromagnetic fields on social recognition behavior and estrogen receptors expression in olfactory bulb of Wistar female rats,"Bernal-Mondragón, Carlos ",2017-02,Ryo Iwata,"Leo, good",yes,Rats,no,Wistar ,Wistar,WT (wild type),adult (12-24 weeks),Female,group-housed,5 min exposure or less,no odor was used,Does not specify,over 5 min - less than an hour,Wistar rats,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/24/2022 13:35:33,"AQW051, a novel, potent and selective α7 nicotinic ACh receptor partial agonist: pharmacological characterization and phase I evaluation","Feuerbach, Dominik",2015-03,Meghan Cum,,yes,Mice,no,OF1/IC,other mouse (outbred),WT (wild type),adult (week not specified),Female,group-housed,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,OF1/IC,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,group-housed,Does not specify,WT (wild type),no,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/24/2022 13:49:28,Early life seizures in female rats lead to anxiety-related behavior and abnormal social behavior characterized by reduced motivation to novelty and deficit in social discrimination,"Castelhano, Adelisandra",2015-03,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),young adult (8-12 weeks),Female,group-housed,10 minutes,animals always present,Does not specify,not specified,Does not specify,Does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/24/2022 13:52:29,NMDA receptor-mediated synaptic transmission in prefrontal neurons underlies social memory retrieval in female mice,"Zhang, Yu-Xiang",2022-02,Nancy Padilla,,yes,Mice,no,C57BL/6J ,C57BL/6,"transgenic (Cre or Flp line, KO line)",young adult (8-12 weeks),Female,singly-housed,80 minutes,animals always present,Does not specify,"over 5 min - less than an hour, over 6 hr - 24 hr",C57BL/6J ,adult (week not specified),"same sex as subject, always female",No,adult intact female,singly-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History","No, I feel confident, and I double-checked all my answers before submitting.",
3/25/2022 14:35:06,Schizophrenia-relevant behaviours of female mice overexpressing neuregulin 1 type III,"Olaya, Juan",2018-11,Naeliz Lopez,,yes,Mice,no,C57BL/6NTac,C57BL/6,both,adult (24-40 weeks),Female,group-housed,10 minutes,animals always present,Does not specify,not specified,A/J,adult (24-40 weeks),"same sex as subject, always female",No,adult intact female,group-housed,Does not specify,WT (wild type),yes,Yes,"Age, Housing History, Type (WT vs transgenic)","Yes, this one was tricky.",Not sure on social agent strain and their housing history 
3/28/2022 12:49:56,Estrogens and their receptors in the medial amygdala rapidly facilitate social recognition in female mice,"Lymer, Jennifer",2018-03,Naeliz Lopez,,yes,Mice,no,CD1,CD-1,WT (wild type),young adult (8-12 weeks),Female,singly-housed,5 min exposure or less,animals always present,Does not specify,1-5 minutes,CD1,young adult (8-12 weeks),"same sex as subject, always female",Yes,ovariectomized female,group-housed,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 12:35:04,"Shank2 Mutant Mice Display Hyperactivity Insensitive to Methylphenidate and Reduced Flexibility in Social Motivation, but Normal Social Recognition","Ey, Elodie",2018-10,Naeliz Lopez,,yes,Mice,no,C57Bl/6J,C57BL/6,both,adult (12-24 weeks),Female,"group-housed, singly-housed for more than a few hours and less than a week",5 min exposure or less,animals always present,Does not specify,1-5 minutes,C57Bl/6J,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/5/2022 14:42:30,An estrogen-dependent four-gene micronet regulating social recognition: A study with oxytocin and estrogen receptor-α and -β knockout mice,"Choleris, Elena",2003-05,Naeliz Lopez,,yes,Mice,no,Does not specify,Does not specify,both,adult (12-24 weeks),Female,"group-housed, singly-housed for more than a few hours and less than a week",15 minutes,animals always present,Does not specify,over 5 min - less than an hour,Swiss Webster,adult (12-24 weeks),"same sex as subject, always female",Yes,ovariectomized female,Does not specify,Does not specify,WT (wild type),no,Yes,"Age, Sex","Yes, this one was tricky.",Subject strain
4/6/2022 17:30:58,Depressive- and anxiety-like behaviors and stress-related neuronal activation in vasopressin-deficient female Brattleboro rats,"Fodor, Anna",2016-05,Jocelyn Santiago Perez,,yes,Rats,no,Brattleboro rats,Brattleboro,WT (wild type),young adult (8-12 weeks),Female,Does not specify,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Wistar rat,"infant (0-21 days), juvenile (3-7 weeks or week not specified)",always male,,"infant male, juvenile male",Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/7/2022 13:51:47,The male sex pheromone darcin stimulates hippocampal neurogenesis and cell proliferation in the subventricular zone in female mice,"Hoffman, Emma",2015-04,Meghan Cum,,yes,Mice,no,CD-1,CD-1,WT (wild type),adult (24-40 weeks),Female,group-housed,7 days,only odor was used (no animals present),Does not specify,over 6 hr - 24 hr,WILD MICE ,"adult (24-40 weeks), old (+40 weeks)","opposite sex as subject, always male",No,adult male,"group-housed, singly-housed",Does not specify,WT (wild type),yes,Yes,None,"No, I feel confident, and I double-checked all my answers before submitting.",
4/7/2022 17:36:05,Rapid effects of the G-protein coupled oestrogen receptor (GPER) on learning and dorsal hippocampus dendritic spines in female mice,"Gabor, Christopher",2015-11,Meghan Cum,,yes,Mice,no,CD-1,CD-1,WT (wild type),young adult (8-12 weeks),Female,singly-housed for more than a few hours and less than a week,10 minutes,animals always present,Does not specify,1-5 minutes,CD-1,"young adult (8-12 weeks), adult (12-24 weeks)","same sex as subject, always female",Yes,ovariectomized female,singly-housed for more than a few hours and less than a week,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/7/2022 18:53:32,Modulation of social learning in rats by brain corticotropin-releasing factor,"Heinrichs, Stephen",2003-12,Naeliz Lopez,,yes,Rats,no,CD,CD-1,WT (wild type),adult (12-24 weeks),Female,group-housed,5 min exposure or less,,Does not specify,"over 5 min - less than an hour, 1-6 hr",CD1,juvenile (3-7 weeks or week not specified),Uses both,No,"juvenile male, juvenile female",Does not specify,Does not specify,WT (wild type),no,No,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/14/2022 10:53:06,Behavioural effects of high fat diet in a mutant mouse model for the schizophrenia risk gene neuregulin 1,"Holm-Hansen, S. ",2016-03,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6J,C57BL/6,both,adult (12-24 weeks),Female,group-housed,10 minutes,animals always present,Does not specify,"1-5 minutes, over 6 hr - 24 hr",A/J,adult (week not specified),"same sex as subject, always female",No,adult intact female,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/15/2022 10:17:50,Effects of long-term estrogen replacement on social investigation and social memory in ovariectomized C57BL/6 mice,"Tang, Akaysha",2005-03,Naeliz Lopez,,yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),adult (12-24 weeks),Female,singly-housed,15 minutes,animals always present,Does not specify,"over 5 min - less than an hour, over 6 hr - 24 hr",Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,singly-housed,Does not specify,WT (wild type),no,No,"Housing History, Type (WT vs transgenic)","Yes, this one was tricky.",I couldn't find a lot about the stimulus animal
